Class	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1.29332643559234	0.296128699529189	0.229086822464917	0.319479580773401	1.39048044942564	1.4840830769637	0.450438653921697	0.632196194606481	0.565183617710872	1.0534956902449	1.10924906232543	0.775455158462576	1.33744717955597	1.66976977864468	0.82032667876588	1.14790762846595	1.04774535809019	1.72189810331389	1.25214104305711	1.29545454545455	3.75773325261712	2.96080819014116	1.54567971801467	0.639946968538065
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_BS11_gut_group|g__Unassigned	0.151004600047538	0.021627376931907	0.00144079762556551	0.0173473075533068	0	0.00528143443759325	0	0	0	0.0957723354768094	0	0.0306504015202599	0.131464216245221	0	0	0.254641480962518	0.0884173297966401	0.0283440017006401	0.533045892150493	0.693181818181818	0.0221477401922424	0.0112749740675596	0.0166714299323616	0.874509204018153
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_S24-7_group|g__Unassigned	0.226506900071308	0.214610124939693	0.769385932051984	0.169136248644742	0.167696134604097	1.26490354780358	1.81746759198638	3.11822374247931	1.79198028553826	0.656724586126693	3.41153938233182	0.156317047753326	0.689516399490241	5.60333362886781	0.222141560798548	1.85793969443022	0.939876215738285	0.262182015730921	1.32006378831729	1.16136363636364	0.695439042036411	0.439723988634826	0.316757168714871	0.851562898373362
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae_UCG-004	1.61071573384041	1.55384385033855	1.83845777022159	0.526201662450307	3.96880851896364	2.73314232145451	1.81746759198638	2.42799987783648	0.841078938204805	2.1936425411593	1.81948767057697	2.43364188070864	2.76074854114964	4.58965038271714	5.94990925589837	5.30974643636658	3.77718832891247	2.69031816141909	0.69694642962613	0.822727272727273	1.06161501321482	0.595318630767149	0.421549014004001	0.57365764111978
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	1.24858433187455	0.816849390274335	1.85430654410282	0.146006505240332	1.22418178260991	2.47303167540304	1.54249050674349	2.40051308676664	1.6687648996866	2.05226433164592	3.75867847737611	1.45895911236437	4.50197867060165	1.84709046310252	2.9038112522686	1.75284955942982	3.58178603006189	1.46916408814985	2.88228692930128	3.3	1.50014026902122	0.971902764623641	0.862151090787844	2.58783335882923
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_RC9_gut_group	8.34859691559122	1.56216207223544	8.69233207503674	1.00180701120347	10.0827300930714	3.49762995629613	6.73301034437606	9.31802217267813	9.92419575174778	9.51338532402974	8.01212991780385	6.04425917979526	12.263733315447	10.643674084582	12.1350272232305	6.8887930802188	8.47214854111406	6.18135437088126	4.57297265371213	3.95454545454545	4.14753348000059	5.78631669147161	6.84481280365819	8.33460812809138
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__dgA-11_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371857400770661	0	0	0.572913590455378	0.563636363636364	0.262819850281276	0.178144590267442	0.138134705153853	0.349293763704044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_R-7_group	0.181764796353519	0.129764261591442	0.0950926432873239	0.511745572822552	0.224992313927164	0.352535748709349	0.222600497577583	0.143542131142534	0.141965553263868	0.11401468509144	0.295267736014684	0.419910500827561	0.0804882956603394	0.0842273251174749	0.392014519056261	0.243863005577861	0.129089301503095	0.191322011479321	0.307128935089481	0.25	0.42671312770387	0.527668786361791	0.507287796513289	0.214165519351384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus_3	0.41386445938955	0.187991814869653	0.309771489496585	0.485724611492591	0.715503507644149	0.409311168913477	2.67906245908079	3.53357969642366	2.75895320493933	0.547270488438911	0.135663554385125	0.536382026604549	0.0670735797169495	0.0458078434849425	0.0159709618874773	0.0363773544232168	0.148541114058355	0.325956019557361	0.0620164195853759	0.0386363636363636	0.277585010409438	0.202949533216074	0.245308183290464	0.0637397379021977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium_10	0.117448022259197	0.101482307142025	0.050427916894793	0.180701120346946	0.0181670812487772	0.21125737750373	0.0209506350661254	0.027486791069847	0.018750167412209	0.159620559128016	0.0798020908147793	0.113406485624962	0.495003018311087	0.291101456984957	0.281669691470054	0.645361213656328	0.563218390804598	0.323594019415641	0.442974425609828	0.436363636363636	0.0620136725382787	0.0901997925404772	0.030961227017243	0.198867982254857
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_AC2044_group	0.149606409306358	0.291137766391056	0.168573322191165	0.377303939284424	0	0.813340903389361	0.353541966740867	0.189353449592279	0.318752846007554	0.259953482008483	0.251376586066555	0.140991846993196	0.0630491649339325	0.0738836185241008	0.0725952813067151	0.0970062784619116	0.0450928381962865	0.0873940052436403	0.184572677337428	0.168181818181818	0.248054690153115	0.209714517656609	0.164332666476136	0.0790372749987252
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_UCG-004	0	0.224591991215958	2.21594674811976	0	0	1.68345722698285	0	0	0	0.0912117480731518	0	0.318764175810703	0.237440472198001	0.189142063421698	0.21923774954628	0.437875562501684	0.156498673740053	0.155892009353521	0	0	0	0	0.00238163284748023	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.517330574236937	0.69540335057978	0.348673025386854	0.586917238886881	0.426227675452081	0.551909898728495	0.505434070970276	0.494762239257246	0.399110706345592	0.465179915173074	0.247386481525816	0.312634095506651	0.529881279763901	1.44368590596093	0.403629764065336	0.626498881733179	0.68788682581786	1.15501806930108	0.497607938101707	0.413636363636364	0.761882262613138	0.868173003202093	0.583500047632657	0.566008872571516
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella_4	0.434837320507264	0.771930992031143	3.27781459816154	2.13371882905674	1.59451074652729	0.96254142625137	1.81746759198638	2.78227407384785	2.45091474031018	1.02613216582296	0.5426542175405	1.14939005700975	0.572808370782749	0.55708248367172	0.347005444646098	0.246557624424025	0.69053934571176	0.628292037697522	0.630500265784655	0.522727272727273	2.67544701522288	1.70477607901502	1.61712870343908	0.175921676610066
