Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Methanobacteriaceae	2.16260799060587	2.63164844451487	2.22010508689878	0.629539272594711	0.439924584356967	1.73553829852868	0.553384398937002	1.89911809994867	1.29383536360281	0.251251570322315	2.72020462434786	1.83074773913683	0.929796842885306	0.366001763463042	2.59199492839236	1.43982652692447	2.17585734648816	1.05364617029985	16.8102658111824	5.55233179610909	7.79739104813436	0.62480047430109	1.20900167584391	0.432170661435665	0.531654216849577	0.81529944640161	0.709950951866323	3.13122140337397	2.19516663613198	0.235263785490992	0.426077793558437	0.492114170487553	1.47304795192119	0.999734707270417	1.30896266404422	1.73457132298596
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Micrococcaceae	0.00419380993653368	0.0277293614324196	0.0346440325653906	39.1281792434312	0.104267839798892	8.29142021754584	0.00312646553071752	0.00933227567542345	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0183810013969561	0.00978733518826638	0.00332728875875493	0.0230527620090482	0.00144560896277557	0.0139746778836748	0.00132035860939831	0	0	0	0	0	0	0	0	0.00332529719843711	0	0	0	0	0.00240055692920758	0.00230704456056569	0	0.00169554749228526	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Nocardiaceae	0	0	0	8.58921510894254	0.00142832657258756	0	0.00312646553071752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Prevotellaceae	2.93287108228255	0.537421433475942	2.03100640914602	0.0224334707383416	4.21784836885105	4.3723762389517	0.537752071283414	0	0	0.350627191419946	0.682081159537971	0	0.717271850225808	0.956595518142042	1.1612828862058	0.380195157209975	3.59149221610442	2.39777123466734	0.379730260573524	0.604709403536634	0.238394985669515	2.00665845760934	1.48032878461416	1.97695089805676	1.28012830984451	6.78241905720517	2.55216559980048	2.59508923893682	3.61752802251795	1.62267556157143	1.50730746323361	0.77297933120484	2.06365135942601	5.26815509850738	4.3016039879277	4.3930155210643
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Pseudomonadaceae	0	0.00396133734748851	0	2.93598048288046	0	0	0	0	0	0	0.00203000345100587	0.0165429012572605	0.00139819074118091	9.64414646725116	0	0	0.00279493557673496	0.0475329099383393	0	0	0	0	0	0	0	0	0	0	0.00166552855548708	0	0	0	0.0207634010450912	0.00977394266884486	0.00508664247685578	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Rhizobiaceae	0	0.0092431204774732	0	0	0	0	0	0	0	0	0	0.00183810013969561	0.0139819074118091	13.557038047547	0	0.00144560896277557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Rikenellaceae	4.919339055554	6.66032852691068	9.88365379063456	0.0771150556630493	5.06056104667771	10.1463270698373	5.88400812881038	12.4352573375017	7.15946843853821	6.27378921118257	5.89107001481903	12.0450702154253	8.555529145286	2.27752915536775	10.8463245252572	1.23888688109866	10.6654741608206	6.72326603905621	7.23320675657981	9.76086491769233	10.0929472584577	11.1415150271355	11.9583433085947	8.22350272788574	6.73626683695442	5.38500251635632	5.56155956438607	10.1218958471587	7.88627771023134	7.4881562409359	8.07944289183122	8.18109801473942	4.9151584362852	4.18604001731384	6.15992403947235	4.58240946045824
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Ruminococcaceae	21.8707188190231	13.2176622827867	9.89520180148969	0.255180729648636	12.162200765583	9.05859788892018	8.98233546975145	18.015958191405	9.65300849021779	16.717604485028	11.5425996224194	14.6827439158885	17.2285063128312	11.9083664675839	8.63758176526525	21.867726779906	14.2877106682691	13.6789151933665	12.4839596700275	12.2560547292551	15.2492432968152	17.7954120490719	18.2587183784215	14.2401765463128	17.0292706832796	9.27696695185372	14.5049463795827	12.6506234501065	18.5190120084609	16.727899706726	20.1058322261419	19.7493818565907	15.3314646272393	11.0738770438012	13.2659635796399	15.2115668883962
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Unassigned	0.00978555651857858	0.216553108329372	0.538426006120446	0.0084125515268781	0.815574472947495	0.193135637548787	0.284508363295295	0.485278335122019	0	0.223126394539966	0.255780434826739	0.0863907065656937	0.262859859342011	0.231246568733468	0.0835662622827998	1.05818576075172	0.093630341820621	0.182209488096967	0.138797957313081	0.149650306935834	0.233037794980312	0.702330460163269	0.554624531162716	0.260528412922209	0.24355109375232	0.161046804227479	0.473854850777288	0.609479235793371	0.577938408754018	0.272325888684779	0.556650020616667	0.621744244664762	0.0922817824226275	0.471941803152795	0.194987961612805	0.196322985957132
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Verrucomicrobiaceae	0	5.6224581418687	1.86067324903285	0.0210313788171953	0.44420956407473	12.2386298099492	9.89526340472096	8.63702113760441	0	0.241876511728198	3.70475629808571	1.72781413131387	4.23232337355462	0.0915004408657605	15.2537244618621	2.74810263823636	1.38069817490707	1.75079551606216	5.15123739688359	0.109947164279388	1.21608228644899	0.209787020568249	0.997526135184742	3.1600563967388	4.6185603754251	0.00838785438684784	4.70695818438773	5.64073905906186	0.0566279708865608	2.62657513938574	2.27241489897833	1.0466428211345	0.136115629073376	0.199667685949259	0.715521041744379	0.217110125646711
