OTUID	All	CW	OW	PW
ASV_487	0.061148	0.03140017	0.06851103	0.08353223
ASV_456	0.066061	2.182358e-04	1.978672e-01	9.612686e-05
ASV_214	0.063529	0.06579960	0.05243480	0.07235148
ASV_153	0.062317	0.0108854645	0.0008941465	0.1751727120
ASV_576	0.069996	0.141906679	0.006968874	0.061111109
ASV_1737	0.058818	0.08159334	0.05105289	0.04380922
ASV_826	0.065009	0.06107128	0.06107835	0.07287841
ASV_360	0.053788	0.03087918	0.09716456	0.03332027
ASV_231	0.060207	0.08541089	0.01900054	0.07620916
ASV_158	0.056374	0.01977310	0.08187291	0.06747746
ASV_563	0.066386	0.05313783	0.13344144	0.01257854
ASV_274	0.049996	0.000000000	0.000156251	0.149832724
ASV_436	0.058187	0.121302789	0.045171395	0.008085756
ASV_287	0.068615	0.07654503	0.03380434	0.09549613
ASV_168	0.06354	0.08524149	0.03343300	0.07194475
ASV_556	0.056435	0.139743806	0.005730906	0.023829973
ASV_246	0.058036	0.04873341	0.03990557	0.08546788
ASV_488	0.053097	0.065724206	0.008331985	0.085233977
ASV_225	0.055624	0.02176824	0.02108132	0.12402298
ASV_199	0.06749	0.195856133	0.002031263	0.004581502
ASV_560	0.050894	0.06861852	0.03543890	0.04862597
ASV_416	0.05675	0.03023102	0.11239295	0.02762666
ASV_695	0.052089	0.155954252	0.000312502	0.000000000
ASV_502	0.061881	0.0005103059	0.0007737890	0.1843582132
ASV_159	0.063014	0.07681734	0.03442091	0.07780498
ASV_463	0.056079	0.01492346	0.06529029	0.08802264
ASV_252	0.046537	0.125401715	0.003437521	0.010772664
ASV_448	0.05123	0.0002545073	0.1530943473	0.0003398440
ASV_320	0.051795	0.04688677	0.06587141	0.04262669
ASV_433	0.048699	0.01241602	0.10215649	0.03152389
ASV_971	0.045692	0.000138637	0.136937644	0.000000000
ASV_205	0.058536	0.04602559	0.05081264	0.07876848
ASV_426	0.06252	0.110088758	0.074193811	0.003276044
ASV_506	0.06689	0.08589941	0.00677500	0.10799597
ASV_566	0.051624	0.07529246	0.04471278	0.03486678
ASV_338	0.05206	0.08122573	0.02259355	0.05236177
ASV_215	0.05579	0.061769101	0.007011675	0.098588807
ASV_293	0.055525	0.005039181	0.013026940	0.148510147
ASV_419	0.055019	0.00453501	0.00000000	0.16052146
ASV_1938	0.057568	0.03570757	0.07917437	0.05782070
ASV_614	0.071139	0.207435755	0.005981262	0.000000000
ASV_524	0.062944	0.11829028	0.01745971	0.05308277
ASV_651	0.052596	0.12971078	0.01135521	0.01672150
ASV_674	0.044768	0.08560641	0.02626405	0.02243438
ASV_136	0.06072	0.05348678	0.03808925	0.09058294
ASV_340	0.057141	0.08089820	0.04492738	0.04559861
ASV_520	0.055509	0.02379746	0.12759498	0.01513363
ASV_1044	0.044246	0.000000000	0.131442289	0.001295697
ASV_311	0.053725	0.04393670	0.10004842	0.01718913
ASV_712	0.054008	0.09224472	0.04853130	0.02124816
ASV_336	0.056273	0.05168490	0.02911740	0.08801602
ASV_681	0.048557	0.04085576	0.10481569	0.00000000
ASV_485	0.062039	0.0208551520	0.0001100371	0.1651524788
ASV_217	0.060532	0.06313485	0.04499382	0.07346723
ASV_420	0.0573	0.057636883	0.009063802	0.105199897
ASV_475	0.052644	0.01915546	0.02586202	0.11291307
ASV_544	0.065349	0.02616499	0.15650149	0.01338167
ASV_671	0.058073	0.06508777	0.04813871	0.06099243
ASV_750	0.042949	0.001188347	0.127659494	0.000000000
ASV_455	0.054785	0.09780614	0.01489595	0.05165413
ASV_840	0.042735	0.0000000	0.1282052	0.0000000
ASV_604	0.077407	0.22320703	0.00901341	0.00000000
ASV_413	0.057262	0.07691502	0.06485454	0.03001777
ASV_414	0.060751	0.010284679	0.163425683	0.008541981
ASV_219	0.063604	0.08329174	0.02176427	0.08575693
ASV_931	0.042452	0.0000000	0.1273567	0.0000000
ASV_260	0.067596	0.145778390	0.000156251	0.056853643
ASV_619	0.056835	0.06771331	0.02752290	0.07526768
ASV_326	0.067804	0.10978856	0.03760012	0.05602473
ASV_329	0.048997	0.11424297	0.01725895	0.01548786
ASV_554	0.05295	0.01827970	0.06322611	0.07734565
ASV_521	0.045022	0.08470491	0.03384591	0.01651571
ASV_384	0.051459	0.05905630	0.06803547	0.02728502
ASV_465	0.056655	0.08844528	0.03716586	0.04435383
ASV_1265	0.040778	0.0000000	0.1223325	0.0000000
ASV_315	0.064061	0.13769407	0.02281551	0.03167233
ASV_499	0.04222	0.01847774	0.01202394	0.09615811
ASV_664	0.046575	0.007786781	0.115364183	0.016575034
ASV_366	0.07694	0.19268465	0.02188526	0.01625133
ASV_423	0.057245	0.03893034	0.03402161	0.09878432
ASV_409	0.049971	0.04086501	0.02251934	0.08652913
ASV_1160	0.074021	0.215641359	0.000239319	0.006182378
ASV_656	0.053244	0.11610910	0.02388083	0.01974109
ASV_782	0.047334	0.04662285	0.02816652	0.06721364
ASV_472	0.051925	0.07218198	0.03309923	0.05049374
ASV_988	0.043919	0.10501251	0.00000000	0.02674464
ASV_591	0.075665	0.004814532	0.215377360	0.006803933
ASV_350	0.050586	0.05132994	0.03433663	0.06609109
ASV_529	0.059218	0.05471599	0.08091318	0.04202560
ASV_343	0.048483	0.02789412	0.01440516	0.10314825
ASV_527	0.051926	0.05044873	0.03724712	0.06808237
ASV_599	0.041047	0.04988866	0.01532750	0.05792557
ASV_300	0.047703	0.12458750	0.01646973	0.00205301
ASV_399	0.046444	0.05106074	0.06147094	0.02680006
ASV_796	0.058891	0.09345499	0.06141119	0.02180738
ASV_387	0.048642	0.02704141	0.03059958	0.08828525
ASV_251	0.045876	0.0000000	0.0000000	0.1376294
ASV_672	0.047457	0.02725144	0.02093046	0.09419001
