OTUID	All	CW	OW	PW
ASV244	0.000608	0.001825178	0.000000000	0.000000000
ASV245	0.000547	0.000000000	0.001640306	0.000000000
ASV246	0.000573	0.000000000	0.001718401	0.000000000
ASV2126	0.000476	0.000000000	0.001427602	0.000000000
ASV247	0.000547	0.000000000	0.001642299	0.000000000
ASV248	0.000581	0.0000000	0.0000000	0.0017421
ASV250	0.000536	0.001606716	0.000000000	0.000000000
ASV251	0.000544	0.000000000	0.001631707	0.000000000
ASV252	0.000539	0.000000000	0.001617318	0.000000000
ASV254	0.000547	0.000000000	0.001642299	0.000000000
ASV256	0.000515	0.000000000	0.001543817	0.000000000
ASV257	0.000515	0.000000000	0.001543817	0.000000000
ASV2130	0.000483	0.000000000	0.000000000	0.001449732
ASV2131	0.000528	0.000000000	0.000000000	0.001582948
ASV2133	0.000477	0.001429986	0.000000000	0.000000000
ASV2137	0.000465	0.000000000	0.001395459	0.000000000
ASV107	0.000508	0.0012530235	0.0000000000	0.0002718248
ASV258	0.00051	0.000000000	0.001529726	0.000000000
ASV259	0.00056	0.000000000	0.000000000	0.001678709
ASV260	0.000548	0.00000000	0.00000000	0.00164517
ASV793	0.000449	0.000213604	0.001133811	0.000000000
ASV2138	0.000486	0.000000000	0.000000000	0.001457709
ASV2139	0.000486	0.000000000	0.000000000	0.001457709
ASV2141	0.000486	0.000000000	0.000000000	0.001457709
ASV2145	0.000446	0.001338716	0.000000000	0.000000000
ASV262	0.000554	0.000000000	0.000000000	0.001661587
ASV263	0.000512	0.000000000	0.000000000	0.001535492
ASV264	0.000554	0.000000000	0.000000000	0.001661587
ASV265	0.000501	0.001503088	0.000000000	0.000000000
ASV266	0.000476	0.000000000	0.001427744	0.000000000
ASV267	0.000475	0.000000000	0.001424797	0.000000000
ASV2146	0.000401	0.001202588	0.000000000	0.000000000
ASV2148	0.000423	0.000000000	0.000000000	0.001268516
ASV2150	0.000402	0.00120713	0.00000000	0.00000000
ASV2151	0.000414	0.001243423	0.000000000	0.000000000
ASV2152	0.000414	0.001243423	0.000000000	0.000000000
ASV269	0.000472	0.000000000	0.000000000	0.001415456
ASV270	0.000514	0.000000000	0.000000000	0.001542902
ASV271	0.000475	0.000000000	0.000000000	0.001425814
ASV272	0.000475	0.000000000	0.000000000	0.001425814
ASV273	0.000475	0.000000000	0.000000000	0.001425814
ASV274	0.000477	0.000000000	0.000000000	0.001430286
ASV275	0.000485	0.000000000	0.000000000	0.001454881
ASV278	0.000418	0.000000000	0.001254352	0.000000000
ASV280	0.000464	0.001392917	0.000000000	0.000000000
ASV281	0.000465	0.001395724	0.000000000	0.000000000
ASV282	0.000442	0.000000000	0.001325762	0.000000000
ASV283	0.000442	0.000000000	0.001325762	0.000000000
ASV284	0.000445	0.000000000	0.001334368	0.000000000
ASV285	0.000445	0.000000000	0.001334368	0.000000000
ASV286	0.000441	0.000000000	0.001323026	0.000000000
ASV287	0.000449	0.001346358	0.000000000	0.000000000
ASV298	0.000469	0.000000000	0.000000000	0.001406561
ASV481	0.000403	0.000000000	0.001207638	0.000000000
ASV591	0.000452	0.00000000	0.00000000	0.00135641
ASV2155	0.000421	0.000000000	0.000000000	0.001263348
ASV2156	0.000393	0.000000000	0.000000000	0.001177908
ASV2160	0.000387	0.001161864	0.000000000	0.000000000
ASV2161	0.000429	0.000000000	0.000000000	0.001288072
ASV2166	0.000364	0.000000000	0.001091696	0.000000000
ASV288	0.000448	0.000000000	0.000000000	0.001342967
ASV289	0.000436	0.000000000	0.000000000	0.001306575
ASV290	0.000436	0.000000000	0.000000000	0.001306575
ASV291	0.000448	0.000000000	0.000000000	0.001342967
ASV294	0.000429	0.001288361	0.000000000	0.000000000
ASV2170	0.000389	0.000000000	0.000000000	0.001166167
ASV2174	0.000369	0.001107076	0.000000000	0.000000000
ASV2176	0.000354	0.001060607	0.000000000	0.000000000
ASV2177	0.000345	0.001034683	0.000000000	0.000000000
ASV2178	0.000355	0.001065791	0.000000000	0.000000000
ASV2179	0.000355	0.001065791	0.000000000	0.000000000
ASV2183	0.000342	0.000000000	0.001025294	0.000000000
ASV2184	0.000349	0.000000000	0.001046594	0.000000000
ASV295	0.000402	0.000000000	0.000000000	0.001206458
ASV299	0.00043	0.000000000	0.000000000	0.001291025
ASV300	0.00043	0.000000000	0.000000000	0.001291025
ASV301	0.000371	0.000000000	0.001111906	0.000000000
ASV303	0.000374	0.0003106980	0.0008122564	0.0000000000
ASV304	0.000374	0.000000000	0.001121799	0.000000000
ASV305	0.000376	0.000000000	0.001129081	0.000000000
ASV307	0.000392	0.001174822	0.000000000	0.000000000
ASV359	0.000409	0.000000000	0.000000000	0.001226709
ASV385	0.000375	0.000000000	0.000000000	0.001124602
ASV520	0.000373	0.000000000	0.000000000	0.001118976
ASV2186	0.000356	0.000000000	0.000000000	0.001068987
ASV2187	0.000356	0.000000000	0.000000000	0.001068987
ASV2188	0.000332	0.000000000	0.000000000	0.000996691
ASV313	0.000363	0.000000000	0.000000000	0.001088812
ASV314	0.000373	0.000000000	0.000000000	0.001119139
ASV315	0.00037	0.000000000	0.000000000	0.001110041
ASV316	0.000363	0.000000000	0.000000000	0.001088812
ASV317	0.000363	0.000000000	0.000000000	0.001088812
ASV318	0.000335	0.001004198	0.000000000	0.000000000
ASV319	0.000358	0.001073634	0.000000000	0.000000000
ASV320	0.000358	0.001073634	0.000000000	0.000000000
ASV321	0.000339	0.000000000	0.001017712	0.000000000
ASV322	0.000337	0.000000000	0.001010824	0.000000000
ASV323	0.000339	0.000000000	0.001017712	0.000000000
ASV325	0.000339	0.000000000	0.001017712	0.000000000
ASV326	0.000339	0.000000000	0.001017712	0.000000000
ASV327	0.000339	0.000000000	0.001017712	0.000000000
ASV328	0.000342	0.000000000	0.001026437	0.000000000
ASV329	0.00034	0.000000000	0.001019817	0.000000000
ASV330	0.00034	0.000000000	0.001019817	0.000000000
ASV829	0.000268	0.0000000000	0.0008049109	0.0000000000
ASV2199	0.000302	0.0000000000	0.0000000000	0.0009060827
ASV2202	0.000291	0.000000000	0.000872162	0.000000000
ASV2208	0.000296	0.0000000000	0.0008881121	0.0000000000
ASV217	0.000308	0.0000000000	0.0009237932	0.0000000000
ASV333	0.000327	0.000000000	0.000000000	0.000979931
ASV334	0.000336	0.000000000	0.000000000	0.001007225
ASV335	0.000336	0.000000000	0.000000000	0.001007225
ASV340	0.00032	0.0009612181	0.0000000000	0.0000000000
ASV341	0.000322	0.0009662707	0.0000000000	0.0000000000
ASV342	0.000306	0.0000000000	0.0009178354	0.0000000000
ASV343	0.000306	0.0000000000	0.0009178354	0.0000000000
ASV344	0.000306	0.0000000000	0.0009178354	0.0000000000
ASV346	0.000305	0.000000000	0.000915941	0.000000000
ASV347	0.00032	0.0009612181	0.0000000000	0.0000000000
ASV348	0.000289	0.0000000000	0.0008683973	0.0000000000
ASV872	0.000262	0.0000000000	0.0007849458	0.0000000000
ASV2209	0.000259	0.0007760119	0.0000000000	0.0000000000
ASV2210	0.000259	0.0007760119	0.0000000000	0.0000000000
ASV2211	0.000277	0.0008303073	0.0000000000	0.0000000000
ASV2216	0.000297	0.0000000000	0.0000000000	0.0008917425
ASV2218	0.000266	0.0007993435	0.0000000000	0.0000000000
ASV2219	0.000266	0.0007993435	0.0000000000	0.0000000000
ASV2223	0.000262	0.0000000000	0.0007849458	0.0000000000
ASV2225	0.000252	0.0000000000	0.0007557893	0.0000000000
ASV349	0.000285	0.000854416	0.000000000	0.000000000
ASV351	0.000276	0.0008285279	0.0000000000	0.0000000000
ASV355	0.000292	0.0000000000	0.0000000000	0.0008774239
ASV357	0.000298	0.0000000000	0.0000000000	0.0008953113
ASV358	0.000292	0.0000000000	0.0000000000	0.0008774239
ASV360	0.000285	0.0008558969	0.0000000000	0.0000000000
ASV361	0.000298	0.0000000000	0.0000000000	0.0008953113
ASV362	0.000286	0.0008589073	0.0000000000	0.0000000000
ASV363	0.000274	0.0000000000	0.0008211495	0.0000000000
ASV364	0.00027	0.0000000000	0.0008086591	0.0000000000
ASV365	0.00029	0.000000000	0.000870004	0.000000000
ASV366	0.000257	0.0000000000	0.0007719087	0.0000000000
ASV367	0.000271	0.0000000000	0.0008141698	0.0000000000
ASV368	0.000271	0.0000000000	0.0008141698	0.0000000000
ASV369	0.000271	0.0000000000	0.0008141698	0.0000000000
ASV370	0.000274	0.0000000000	0.0008211495	0.0000000000
ASV371	0.000272	0.0000000000	0.0008158537	0.0000000000
ASV372	0.000272	0.0000000000	0.0008158537	0.0000000000
ASV373	0.000272	0.0000000000	0.0008158537	0.0000000000
ASV374	0.000272	0.0000000000	0.0008158537	0.0000000000
ASV411	0.000238	0.000714993	0.000000000	0.000000000
ASV2231	0.000264	0.0000000000	0.0000000000	0.0007914742
ASV2232	0.000316	0.0000000000	0.0000000000	0.0009484247
ASV2233	0.000264	0.00000000	0.00000000	0.00079266
ASV2234	0.000259	0.0000000000	0.0000000000	0.0007774448
ASV2241	0.000264	0.0000000000	0.0000000000	0.0007914742
ASV2242	0.000264	0.0000000000	0.0000000000	0.0007914742
ASV2244	0.000264	0.0000000000	0.0000000000	0.0007914742
ASV2245	0.000233	0.0000000000	0.0006977296	0.0000000000
ASV2246	0.000225	0.0000000000	0.0006756323	0.0000000000
ASV2248	0.000233	0.0000000000	0.0006977296	0.0000000000
ASV2250	0.000229	0.0006871931	0.0000000000	0.0000000000
ASV2252	0.00023	0.0006897884	0.0000000000	0.0000000000
ASV2253	0.000246	0.000738051	0.000000000	0.000000000
ASV375	0.000256	0.0000000000	0.0000000000	0.0007677459
ASV377	0.000274	0.0000000000	0.0000000000	0.0008215615
ASV378	0.000256	0.0000000000	0.0000000000	0.0007677459
ASV379	0.000256	0.0000000000	0.0000000000	0.0007677459
ASV380	0.000256	0.0000000000	0.0000000000	0.0007677459
ASV381	0.000254	0.0000000000	0.0000000000	0.0007621686
ASV382	0.000277	0.0000000000	0.0000000000	0.0008307935
ASV383	0.000254	0.0000000000	0.0000000000	0.0007621686
ASV384	0.000254	0.0000000000	0.0000000000	0.0007621686
ASV386	0.000254	0.0000000000	0.0000000000	0.0007621686
ASV391	0.000238	0.000000000	0.000713872	0.000000000
ASV393	0.000225	0.0000000000	0.0006754201	0.0000000000
ASV395	0.000237	0.0000000000	0.0007123986	0.0000000000
ASV396	0.000237	0.0000000000	0.0007123986	0.0000000000
ASV397	0.000238	0.000000000	0.000713872	0.000000000
ASV398	0.000237	0.0000000000	0.0007123986	0.0000000000
ASV399	0.000238	0.000000000	0.000713872	0.000000000
