OTUID	All	CC	OC	PC
ASV141	0.002427	0.000000000	0.007280847	0.000000000
ASV851	0.002753	0.000000000	0.008257519	0.000000000
ASV1027	0.002731	0.0006982996	0.0000000000	0.0074956154
ASV1028	0.003411	0.01023313	0.00000000	0.00000000
ASV1912	0.002518	0.000000000	0.000000000	0.007554922
ASV1913	0.002518	0.000000000	0.000000000	0.007554922
ASV858	0.00278	0.001379748	0.001436732	0.005524905
ASV1029	0.002885	0.0002306390	0.0003213244	0.0081027859
ASV1914	0.002469	0.000000000	0.007408081	0.000000000
ASV1915	0.002639	0.000000000	0.000000000	0.007916032
ASV22	0.002772	0.000000000	0.003758792	0.004556587
ASV61	0.002544	0.0076319	0.0000000	0.0000000
ASV859	0.002431	0.000000000	0.000000000	0.007292947
ASV1030	0.002899	0.000000000	0.000000000	0.008697366
ASV1916	0.0026	0.000000000	0.000000000	0.007799473
ASV1917	0.002352	0.000000000	0.000000000	0.007055137
ASV1918	0.0026	0.000000000	0.000000000	0.007799473
ASV1919	0.002441	0.000000000	0.007323898	0.000000000
ASV1920	0.002449	0.000000000	0.007347501	0.000000000
ASV1921	0.002441	0.000000000	0.007323898	0.000000000
ASV1922	0.002441	0.000000000	0.007323898	0.000000000
ASV1031	0.00307	0.000000000	0.009211299	0.000000000
ASV1032	0.00307	0.000000000	0.009211299	0.000000000
ASV1033	0.002927	0.000000000	0.000000000	0.008782142
ASV1034	0.002648	0.000000000	0.000000000	0.007944602
ASV848	0.002859	0.0003459585	0.0006734619	0.0075567265
ASV819	0.002447	0.007341694	0.000000000	0.000000000
ASV1035	0.002768	0.000000000	0.008304586	0.000000000
ASV1923	0.002245	0.000000000	0.000000000	0.006733748
ASV1036	0.003309	0.009927535	0.000000000	0.000000000
ASV1037	0.002707	0.0000000	0.0000000	0.0081198
ASV1038	0.002825	0.000000000	0.000000000	0.008475788
ASV1924	0.002112	0.000000000	0.000000000	0.006337426
ASV1039	0.002928	0.000000000	0.008782866	0.000000000
ASV1925	0.002368	0.007102593	0.000000000	0.000000000
ASV1040	0.003104	0.009313299	0.000000000	0.000000000
ASV1927	0.002273	0.000000000	0.006818802	0.000000000
ASV1928	0.002429	0.000000000	0.000000000	0.007286348
ASV1929	0.002292	0.000000000	0.000000000	0.006875828
ASV1930	0.002421	0.000000000	0.000000000	0.007261578
ASV1041	0.003023	0.0083934674	0.0006762971	0.0000000000
ASV1042	0.002436	0.00000000	0.00000000	0.00730882
ASV1931	0.002264	0.000000000	0.000000000	0.006790941
ASV1932	0.002245	0.000000000	0.006734619	0.000000000
ASV1933	0.002245	0.000000000	0.006734619	0.000000000
ASV1043	0.003037	0.009110241	0.000000000	0.000000000
ASV1044	0.002406	0.000000000	0.000000000	0.007217459
ASV1045	0.002713	0.0006142355	0.0004917117	0.0070321015
ASV1934	0.002109	0.00000000	0.00632812	0.00000000
ASV1935	0.002369	0.000000000	0.000000000	0.007106438
ASV1936	0.002235	0.000000000	0.000000000	0.006706054
ASV1937	0.002361	0.00000000	0.00000000	0.00708228
ASV1046	0.002519	0.000230639	0.000000000	0.007325106
ASV1047	0.002507	0.000000000	0.000000000	0.007520442
ASV1048	0.002951	0.008853383	0.000000000	0.000000000
ASV1049	0.002341	0.0002306390	0.0002142162	0.0065779376
ASV1938	0.001808	0.000000000	0.005424464	0.000000000
ASV1939	0.00214	0.000000000	0.006418507	0.000000000
ASV855	0.002375	0.000000000	0.000000000	0.007124425
ASV1050	0.002646	0.000000000	0.007938661	0.000000000
ASV1051	0.002586	0.000000000	0.007758482	0.000000000
ASV1052	0.002193	0.006579224	0.000000000	0.000000000
ASV1053	0.002883	0.008648963	0.000000000	0.000000000
ASV1940	0.001798	0.000000000	0.005392719	0.000000000
ASV1941	0.002122	0.000000000	0.000000000	0.006366507
ASV863	0.002168	0.004414338	0.000000000	0.002088436
ASV873	0.002269	0.000689874	0.000000000	0.006116934
ASV1054	0.002845	0.008533643	0.000000000	0.000000000
ASV1942	0.00175	0.000000000	0.005248914	0.000000000
ASV1943	0.002055	0.000000000	0.006165145	0.000000000
ASV1944	0.002189	0.000000000	0.000000000	0.006566709
ASV1945	0.001949	0.000000000	0.005847504	0.000000000
ASV435	0.002571	0.000000000	0.007711785	0.000000000
ASV1055	0.002387	0.000000000	0.000000000	0.007161272
ASV1056	0.002344	0.000000000	0.000000000	0.007032102
ASV1057	0.002571	0.000000000	0.007711785	0.000000000
ASV1058	0.002311	0.000000000	0.000000000	0.006934433
ASV91	0.007166	0.02149824	0.00000000	0.00000000
ASV411	0.002702	0.0019742038	0.0003103393	0.0058207218
ASV1059	0.002279	0.000000000	0.000000000	0.006836765
ASV1060	0.002331	0.000000000	0.006991889	0.000000000
ASV1061	0.002414	0.000000000	0.007241249	0.000000000
ASV1949	0.001869	0.000000000	0.005607195	0.000000000
ASV1950	0.001981	0.000000000	0.000000000	0.005942073
ASV708	0.002385	0.000000000	0.007156112	0.000000000
ASV1062	0.002397	0.00000000	0.00719107	0.00000000
ASV1063	0.002222	0.000000000	0.006666358	0.000000000
ASV1064	0.002214	0.000000000	0.000000000	0.006641429
ASV1951	0.001924	0.0000000	0.0000000	0.0057723
ASV1952	0.001731	0.000000000	0.000000000	0.005192108
ASV1065	0.002181	0.000000000	0.000000000	0.006543761
ASV1066	0.002181	0.000000000	0.000000000	0.006543761
ASV1067	0.00204	0.000000000	0.000000000	0.006121136
ASV1068	0.002063	0.000000000	0.000000000	0.006189399
ASV1954	0.001896	0.000000000	0.000000000	0.005687413
ASV1955	0.001896	0.000000000	0.000000000	0.005687413
ASV1956	0.002002	0.000000000	0.000000000	0.006006491
ASV1069	0.002356	0.000000000	0.007069136	0.000000000
ASV1957	0.001972	0.000000000	0.000000000	0.005916841
ASV85	0.001857	0.00000000	0.00557095	0.00000000
ASV1070	0.001979	0.000000000	0.000000000	0.005938416
ASV1953	0.00186	0.005579303	0.000000000	0.000000000
ASV1958	0.001753	0.000000000	0.005258389	0.000000000
ASV1959	0.001949	0.000000000	0.000000000	0.005847069
ASV1071	0.002285	0.00000000	0.00685492	0.00000000
ASV1961	0.001726	0.000000000	0.005177491	0.000000000
